역코드,역명,영문,전화번호,역주소,환승주차장,자전거보관소,물품보관함,자동사진기,도시철도경찰대,섬식형(아일랜드형),엘리베이터,역명및 지명유래
205,시립미술관,Busan Museum of Art,051-678-6205,부산광역시 해운대구 해운대로 지하 396,,O,O,,,,O,현 역세권에 가장 뚜렷한 지형지물이고 부산시민의 미술저변확대와 미술관을 찾는 내ㆍ외 관람객들의 교통 편의도모와 미술관의 대외 홍보하기 위해 시립미술관이라고 표기함.
206,센텀시티,"Centum City",051-678-6206,부산광역시 해운대구 센텀남대로 지하 76,,O,O,O,,,O,21세기 정보화 사회의 중추적 역할을 담당할 첨단 정보산업단지가 들어설 예정이고 역사가 컨벤션센터에 위치하여 역명을 센텀시티라 하게되면 대내외적으로 지대한 홍보효과를 가져올 수 있음.
207,민락,Millak,051-678-6207,부산광역시 수영구 수영로 지하 769,,O,,,,,O,수영의 진산 앞의 마을로 수영강의 어귀를 접한 놀이터인 까닭에 여러 사람이 함께 즐길 수 있는 경치라는 데서 붙임. (여민동락)
208,수영(2),Suyeong,051-678-6208,부산광역시 수영구 수영로 지하 677,O,O,O,O,,O,O,조선시대 경상 좌도수군 절도사영이 있어서 관아명을 줄여 좌수영이라 하며 조선시대 수군제가 확립된 후 주둔하였던 군대명칭으로서 경상 좌도수군 절도사영에서 수자와 영자를 따와서 이미 지명으로 굳어졌음
209,광안,Gwangan,051-678-6209,부산광역시 수영구 수영로 지하 576,,O,O,,O,,O,해안과 모래벌을 가진 곳으로 넓은 해안이란 뜻의 廣岸이라 이름 짓는 것이 옳으나 풍수상 광안이라 하였음.
210,금련산,Geumnyeonsan,051-678-6210,부산광역시 수영구 수영로 지하 482,,O,O,,,,O,당초 황령산 야영장의 명칭이 부산시 조례개정으로 청소년 수련소로 개칭되었고 황령산과는 거리가 멀어 의미가 없으며 정거장이 건설되는 지점이 금련산 자락이며 금련산은 수영구의 진산임.
211,남천,Namcheon,051-678-6211,부산광역시 수영구 수영로 지하 410,O,O,O,,,,O,대연동의 석포에서 융기된 산지의 북안쪽을 남천 (동래부지도) 금련산에서 발원하여 수영만으로 흐르는 시내를 남천이라 부름.
212,경성대·부경대,Kyungsung Univ.ㆍPukyong Natl Univ,051-678-6212,부산광역시 남구 수영로 지하 324,,O,O,O,,,O,현 역세권에 가장 뚜렷한 지형지물임.
213,대연,Daeyeon,051-678-6213,부산광역시 남구 수영로 지하 242,,O,O,O,,,O,황령산의 북서는 준험하고 동남은 밋밋한 연봉이 10여개 남으로 뻗어내려 수많은 浦와 池를 이름 특히 이 일대에 큰 연못이 있어서 한자표기로 大淵이라 함.
214,못골,"Motgol",051-678-6214,부산광역시 남구 수영로 지하 170,,O,,,,,O,황령산의 주봉인 관창봉 아래 큰 못 작은 못이 있었는데 이런 연유로  못골이라 불렀음.
215,지게골,"Jigegol",051-678-6215,부산광역시 남구 수영로 지하 70,,O,,,,,O,지게는 마루나 바깥에서 방으로 드나드는 곳에 문종이로 안 밖을 두껍게 싸서 바른 외짝문이란 뜻으로 이 일대의 지형은 양편이 산으로 에워싸여 있어 마치 집안의 방으로 들어가는 문과 같기 때문에 옛날로부터 찌게골로 불리워 왔다. (찌게골 → 지게골)
216,문현,Munhyeon,051-678-6216,부산광역시 남구 전포대로 지하 17,,O,,,,,O,지게골의 한문표기로서 지게에서 門을 고개에서 峴을 따옴.
217,국제금융센터·부산은행,Busan Intl Finance Center·Busan Bank,051-678-6217,부산광역시 남구 전포대로 지하 97,,O,O,,,O,O,인근의 국제금융센터와 부산은행 명칭을 따서 만듦
218,전포,Jeonpo,051-678-6218,부산광역시 부산진구 전포대로 지하 181,O,O,,,,,O,옛날에는 황령산 아래 산자락 마을이 있었는데 논밭과 갯가로 되어 있어 밭개로 불리었고 이의 한자 표현이 田浦임.
219,서면(2),Seomyeon,051-678-6219,부산광역시 부산진구 중앙대로 지하 730,,O,O,O,,O,O,옛 동래군의 서쪽에 위치하는 면.
220,부암,Buam,051-678-6220,부산광역시 부산진구 가야대로 지하 719,,O,,,,,O,지금의 부암동과 부전동 사이에 가마솥(釜)을 거꾸로 엎어 놓은 것 같은 형상의 바위가 있었다는데서 유래.
221,가야,Gaya,051-678-6221,부산광역시 부산진구 가야대로 지하 650,,O,O,,,,O,가야는 갑우내를 한자로 표기한 것이며 갑우는 정중(正中)의 뜻으로 지금의 가운의 원말. 지금의 구관으로부터 감고개(&#26617;嶺) 가모고개 가마고개를 넘어 가야동으로 왕래하여 이곳(가야)은 교통의 요충지이며 가야리란 명칭은 감고개 아래의 마을이란 뜻이 있음.
222,동의대,Dongeui Univ,051-678-6222,부산광역시 부산진구 가야대로 지하 554,,O,O,,,,O,현 역세권에 가장 뚜렷한 지형지물임.
223,개금,Gaegeum,051-678-6223,부산광역시 부산진구 가야대로 지하 442,,O,O,,,,O,이 마을의 모양이 꼭 거문고와 같이 길게 늘어져 있는 현상이라 개금이라 하였음.
224,냉정,Naengjeong,051-678-6224,부산광역시 사상구 가야대로 지하 362-1,O,O,O,,,,O,가야에서 주례동으로 넘어오는 고개밑에 천하에 청량미를 자랑하는 맑은 물이 솟는 샘에서 유래하며 이고개 이름을 냉정치라고 부르고 부락이름도 냉정동 이라함.
225,주례,Jurye,051-678-6225,부산광역시 사상구 가야대로 지하 292,,O,O,,,,O,"주례로 기사(記寫)된 말의 어원은 바로 두리에서 왔을 것임. (두리 → 두례 → 주례)"
226,감전,Gamjeon,051-678-6226,부산광역시 사상구 사상로 지하 93-1,,O,,,,,O,甘東부락 = 신(神)의 마을에서 유래. 농토가 비옥하다는 뜻의 甘田.
227,사상(2),Sasang,051-678-6227,부산광역시 사상구 사상로 지하 203,O,O,O,O,,,O,옛 사천면 상당(沙川面 上端)의 줄임말.
228,덕포,Deokpo,051-678-6228,부산광역시 사상구 사상로 지하 320-1,,O,,,,,O,덕포의 옛이름이 덕개였으며 덕개의 위치는 낙동강을 향하여 길게 뻗어 나온 긴 동산이 있는데 여기에는 상강선대 하강선대가 있고 이 강선대의 중간 도로변에 있는 바위언덕이 그것이다. 이 언덕이 동리의 포구였고 여기에서 동리명인 덕포동이 된 것임.
229,모덕,Modeok,051-678-6229,부산광역시 사상구 사상로 지하 409,,O,,,,,O,덕포2동과 모라1동의 경계지점이고 현재 모덕초등교 모덕시장 등의 명칭이 통용되고 있음.
230,모라,Mora,051-678-6230,부산광역시 사상구 사상로 지하 498,O,O,O,,,,O,마을(집회소)이라는 우리말의 고대어임.
231,구남,Gunam,051-678-6231,부산광역시 북구 백양대로 지하 1026,O,O,,,,,O,구포 남쪽의 자연부락.
232,구명,Gumyeong,051-678-6232,부산광역시 북구 백양대로 지하 1094,,O,,,,,O,주변지역 일대가 구명리라는 자연부락으로 주민등록법 시행이전의 기류초본에도 구명동으로 표기되어 있으며 인근의 구포초등학교 전신인 구포사립구명학교가 1906년 교육계의 선각자들에 의해 창설되어 이듬해인 1907년 10월 15일에 개교되었음.
233,덕천(2),Deokcheon,051-678-6233,부산광역시 북구 금곡대로 지하 14,O,O,O,O,O,,O,덕천동의 옛이름인 덕곡촌의 마을에 흐르는 시내로서 금정산에서 발원하여 낙동강으로 유입하는 천을 덕천이라 불리움.
234,수정,Sujeong,051-678-6234,부산광역시 북구 금곡대로 지하 160,,O,,,,,O,수정마을은 구포 왜성 바로 밑에 위치하므로 이곳에 수정(戍亭)이 설치되어 붙은 이름일 것임.
235,화명,Hwamyeong,051-678-6235,부산광역시 북구 금곡대로 지하 311,,O,,O,,,O,회붉이(日明)에서 온 것으로서 즉 “해”가 “화”가 되고 “붉”이“명”이 되었을 것으로 사료됨.
236,율리,Yulli,051-678-6236,부산광역시 북구 금곡대로 지하 440,,O,,,,,O,밤 즉 밝은 곳이란 뜻이니 예를 들면 “밤개울” “붉개울”은 율포를 말하는 것이고 신하(神河)의 고어이다.  또한 이 마을에 신석기 유적과 당산 그리고 바위에 새겨진 성혈이 모두 신과 관련된 것으로 율리는 그 뜻을 내포함.
237,동원,Dongwon,051-678-6237,부산광역시 북구 금곡대로 575,,O,,,,,O,선 세조때 김해군 생림면에 있던 도요진을 금곡동의 동원동으로 옮겨와 세곡수송의 수참 및 왜인들과 무역하는 나루로 사용하였으며 현재도 금곡동 장어마을 일대가 동원부락으로 불려지고 있음.
238,금곡,Geumgok,051-678-6238,부산광역시 북구 금곡대로 685,O,O,,,,,O,금정산의 골에서 유래.
239,호포,Hopo,051-678-6239,경상남도 양산시 동면 양산대로 62,O,O,,,,O,O,옛이름은 호포(狐浦)이며 낙동강변 포구의 자연부락명임.
240,증산,Jeungsan,051-678-6240,경상남도 양산시 물금읍 메기로 168,,,,,,,,-
241,부산대 양산캠퍼스,Pusan Natl Univ. Yangsan Campus,051-678-6241,경상남도 양산시 물금읍 메기로 270,O,O,O,,,,O,-
242,남양산,Namyangsan,051-678-6242,경상남도 양산시 동면 메기로 380,O,O,,,,,O,-
243,양산,Yangsan,051-678-6243,경상남도 양산시 강변로 441,O,O,O,,,,O,양주(良州)는 고려 태조 23년 경자에 양주(梁州)로 개칭되고 현종 무오년에 방어사를 두었는데 조선태종 13년 계사에 류수부 대도호부 목관을 제외한 “주”자를 가진 단부 및 군연은 모두 “산과 천”으로 고쳐짐에 따라 양산으로 개칭되어 오늘에 이르고 있다
301,수영,Suyeong,051-678-6301,부산광역시 수영구 수영로 지하 677,,O,O,,,O,O,조선시대 경상 좌도수군 절도사영이 있어서 관아명을 줄여 좌수영이라 하며 조선시대 수군제가 확립된 후 주둔하였던 군대명칭으로서 경상 좌도수군 절도사영에서 수자와 영자를 따와서 이미 지명으로 굳어졌음
302,망미,Mangmi,051-678-6302,부산광역시 수영구 연수로 지하 337,,O,O,,,,O,고려시대 충신 정서가 이곳에서 귀양살이 하면서 초하루와 보름날에 북쪽을바라보며(望) 임금(美)을 향하여 절을 했다는 뜻에서 망미동이라는 명칭이유래.
303,배산,Baesan,051-678-6303,부산광역시 연제구 연수로 지하 229,,O,O,,,,O,망미1동의 뒷산인 배산에 거칠산국(신라의 변방에 위치한 속국)의 유적으로 추정되는 배산성지가 있으며 이 지역이 거칠산국의 중심지로 추정됨.
304,물만골,"Mulmangol",051-678-6304,부산광역시 연제구 월드컵대로 지하 23,,O,,,,,O,황령산 북쪽자락으로 물이 많은 골짜기라는 뜻으로 옛날 전리(田里)에 속한작은 마을 지명으로 가뭄에도 물이 마르지 않는다는 뜻이 있고 지금도 널리 쓰이고 있음. 전리는 밭이 많은 동네란 뜻으로 금련산 골짜기에서 흘러 내리는 중앙천 쌍미천 마곡천의 수자원이 풍부
305,연산(3),Yeonsan,051-678-6305,부산광역시 연제구 중앙대로 지하 1101,,O,O,,O,,O,연산동(蓮山洞)이란 지명은 낮은 늪지대로 수련이 많고 배산과 황령산쪽은 산지로 되어 연산이란 이름이 붙여졌다는 설과 이 동네의 시발은 금련산(金蓮山)이어서 연산(蓮山)이라 했다는 설이 있다.
306,거제,Geoje,051-678-6306,부산광역시 연제구 월드컵대로 지하 209,,O,O,,,,O,조선시대 서면에 속하며 거벌(巨伐)로 표기되어 연산동 및 거제동 일대의 넓은 들을 의미하였으나 일제시대 동래천에 제방을 쌓으면서 큰제방이 있는 마을이라는 뜻에서 거제(巨堤)로 불림.
307,종합운동장,Sports Complex,051-678-6307,부산광역시 연제구 아시아드대로 지하 73,,O,O,,,,O,조선중기 동래부 서면 거벌리로 불리다가 거평동으로 불려졌으며 2002년 아시안게임 주경기장(종합운동장)이 위치하여 종합운동장으로 명명함.
308,사직,Sajik,051-678-6308,부산광역시 동래구 아시아드대로 지하 153,,O,O,,,,O,예부터 사직단이 있던 곳으로 社는 토지신이고 稷은 곡물신으로써 임금을 비롯한 지방수령이 토지신과 곡물신에게 제사를 드려 나라와 지방의 풍요와 안녕을 비는 곳이 사직단이며 1914년 석사동 거인동을 병합해 여고동이라하여 동래군 동래면에 편입되었는데 1916년 사직
309,미남(3),Minam,051-678-6309,부산광역시 동래구 아시아드대로 지하 232,,O,O,,,O,O,예로부터 내려오는 자연마을로 자식이 성년이 되는 날 막걸리 1말을 대접하는 풍습이 내려옴. 예부터 미남 마을이 존재하였고 미남교차로 등 여건을 고려하여 미남이라 명명함.
310,만덕,Mandeok,051-678-6310,부산광역시 북구 만덕대로 지하 291,,O,O,,,O,O,임진왜란때 금정산 기슭인 이곳에 1만여의 피난민이 피난와서 모두 화를 면했었는데 이에 따라 1만여명이 덕을 입었다고 하여 마을이름이 만덕동이되었다고 한다. 그러나 <고려사절요> 권26을 보면 충혜왕의 서자 석기의 머리를 깍고 만덕사에 두었다라고 한다. 
311,남산정,Namsanjeong,051-678-6311,부산광역시 북구 만덕대로 지하 179,,O,O,,,,O,덕천동의 본 마을에 해당하는 자연 발생적 마을로서 정확한 유래는 알 수 없으나 구포왜성(의성)과 관련된 명칭에서 유래한 것으로 추정되며 정자(당산) 나무가 있어 붙여진 자연마을 지명에 따라 남산정이라 명명함. 
312,숙등,Sukdeung,051-678-6312,부산광역시 북구 만덕대로 지하 79,,O,O,,,,O,숙등마을의 유래는 여러 가지 설이 있으나 그 중 대표적인 것은 구포장에서 만덕고개를 넘어 동래장으로 향하는 길목으로 임진왜란 후 수정(戍亭)이 있었던 곳으로 볼 때 수정이 변하여 숙등으로 되었다고 보는 설이 있음.
313,덕천(3),Deokcheon,051-678-6313,부산광역시 북구 금곡대로 지하 14,O,O,O,,O,O,O,덕천동의 옛이름인 덕곡촌의 마을에 흐르는 시내로서 금정산에서 발원하여낙동강으로 유입하는 천을 덕천이라 부름.
314,구포,Gupo,051-678-6314,부산광역시 북구 낙동대로 1697,,O,O,,,,O,포의 구(龜)에 대한 학설중에서 정인보의 설을 보면 구포라는 말은 ‘거뵈개’를 한자로 적은 말이고 ‘거뵈개’는 낙동강 물 이름인 ‘갑우내’에서 왔다는 것이며 ‘구’를 신(神)으로 해석하는 설이 있음
315,강서구청,Gangseo-gu Office,051-678-6315,부산광역시 강서구 낙동북로 485,O,O,O,,,,O,현재 대저 12동이 위치하고 있는 대저섬(삼각주)은 동서로 6Km 남북으로 15Km에 이르는 큰 섬이며. 조선시대 문헌자료에 의하면 노전(蘆田)을 비롯한 전답에 관한 기록과 농토를 보호하기 위한 제방축조의 기록이 있다. 인근에 강서구청이 있으므로 강서구청이라 명명함.
316,체육공원,Sports Park,051-678-6316,부산광역시 강서구 낙동북로 371,O,O,,,,,O,홍수 때마다 강물이 범람하여 물길이 한곳으로 세차게 맴돌며 모래를  쓸어버려 큰못을 이루었는데 이 못가에 정자를 짓게 되어 연정이라 불리었으며 정자의 동쪽은 동연정이라 하고 서쪽은 서연정이라 함. 하키경기장 양궁경기장 등 종합시설을 이용하는 시민들에게 친숙한
317,대저,Daejeo,051-678-6317,부산광역시 강서구 낙동북로 295,O,O,O,,,O,O,대저섬(삼각주)은 동서로 6Km 남북으로 15Km에 이르는 큰 섬으로 서낙동강 어귀에 큰 모래톱이 형성되어 대저라는 지명이 유래.
401,미남(4),Minam,051-678-6401,부산광역시 동래구 아시아드대로 지하 232,,O,,,,,O,"○ 1832년 동래부읍지 방리조에 서면소속 미남리라 함  ○ 1904년 경상남도동래군가호안에 서상면관내에 미남리 존재  ○ 온천3동 파출소 동쪽편이 미남본동이라 함 "
402,동래(4),Dongnae,051-678-6402,부산광역시 동래구 충렬대로 지하 147,,O,O,,,,O,"○온천동의 개발은 일제 이후임(이전에는 온정원(溫井院)이라는 관리들을 위한 관용 여관 존재) ○1914년 산저리 미남동 화촌동 소정동 합해 온천동으로 함 ○1942년 부산부 동래출장소 설치로 온천동 속함 1947년 일제식 동명 개정 때 미남리 산저리 일부 합쳐 온천2 "
403,수안,Suan,051-678-6403,부산광역시 동래구 충렬대로 지하 223,,O,O,,,,O,"○1914년 평남 안민 장남 안국 서호등을 합하여 수안동 됨 ○1957년 법정명인 수안동과 낙민동이 수민동으로 병합 ○수안의 뜻은 首安(동부래 수장인 동래부사가 집무하는 동헌이 있어 으뜸되는 관아 안) 또는 水安(물이 많은 지역)의 의미가 있음"
404,낙민,Nangmin,051-678-6404,부산광역시 동래구 충렬대로 지하 285,,O,,,,,O,"1914년 신락 회룡동 병합하여 낙민동 됨 낙민동 지역은 수령이 민정 살피는 지역으로 수령이 백성을 즐겁게 해준다는 뜻"
405,충렬사,Chungnyeolsa,051-678-6405,부산광역시 동래구 반송로 지하 205,O,O,O,,,,O,"○충렬사리 안락리 호현 화현 합해 원리(서원 있는 마을)라 함 ○1942년 서원의 명칭인 안락을 따서 안락정 ○1957년 안락동 1982년 안락1 2동 분동"
406,명장,Myeongjang,051-678-6406,부산광역시 동래구 반송로 지하 281,,O,,,,,O,"○1740년 동래부 동면 명장리 표기 1910년 동래읍 소속 1959년 동래구 명장동 1990년 명장12동 분동 ○명편(의장때 쓰는 기구로 흔들어 소리내어 정숙케 하는 물건)을 보관했던 곳이라 하여 명장이라 전함"
407,서동,Seo-dong,051-678-6407,부산광역시 금정구 반송로 지하 387,,O,,,,,O,"○1832년 명장리 서리 금사리 반여리 회동리 등을 동상면 우리 중리 좌리 남수리 등은 동하면이라 함 ○1942년 동래군의 부산부 편입으로 동상면의 중심마을인 서리 금사리 회동리 합하여 서동이 됨 ○1959년 서동을 동상동으로 개칭 1975년 동상123동으로 분 "
408,금사,Geumsa,051-678-6408,부산광역시 금정구 반송로 지하 465,,O,,,,,O,"○조선시대 동상면 지역 ○1914년 금천마을과 사천마을 첫글자 합하여 금사리됨 ○1942년 부산부에 편입 1957년 동래구 소속 ○광복후에도 법정동으로 존재하였으나 행정동으로는 서동에 속하였고 1985년 서3동이 분동되면서 금사동으로 발족"
409,반여농산물시장,Banyeo Agricultural Market,051-678-6409,부산광역시 해운대구 반송로 550,,O,,,,,O,"○지형이 소반처럼 동그랗다는 뜻에서 유래 ○조선시대 동래군 동상면 지역○1896년 부산부 편입 1914년 동래군 동래면 반여리 1942년 부산부 재편입 1957년 동래구 1980년 해운대구 관할 (행정동 반여1~4동으로 구성)"
410,석대,Seokdae,051-678-6410,부산광역시 해운대구 석대천로 121,,O,,,,,O,조선시대부터 사용 연원은 불명(주변에 지명과 관련된 흔적 없음)이나 동천의 상류로서 주변에 오륜대 동대 죽연대 등의 높은대가 많은 것으로 보아 석대동 일원에도 풍류를 즐길만한 좋은 자리가 있는 데서 지명유래 추측
411,영산대,Youngsan Univ,051-678-6411,부산광역시 해운대구 반송로 803,,O,O,,,,O,○ 조선시대부터 사용 연원은 불명(주변에 지명과 관련된 흔적 없음)이나 동천의 상류로서 주변에 오륜대 동대 죽연대 등의 높은대가 많은 것으로 보아 석대동 일원에도 풍류를 즐길만한 좋은 자리가 있는 데서 지명유래 추측
412,동부산대학,Dong-Pusan College,051-678-6412,부산광역시 해운대구 반송로 917,,O,O,,,,O,○조선시대부터 사용 연원은 불명(주변에 지명과 관련된 흔적 없음)이나 동천의 상류로서 주변에 오륜대 동대 죽연대 등의 높은대가 많은 것으로 보아 석대동 일원에도 풍류를 즐길만한 좋은 자리가 있는 데서 지명유래 추측
413,고촌,Gochon,051-678-6413,부산광역시 기장군 철마면 반송로 991,,O,,,,,O,"○옛이름은 돋골로서 범곡이라 함 이는 돛골로 돛은 배의 돛대가 아닌 돋골 즉 돋은 골의 준말임 돋은 골은 언덕골로 구곡이라는 뜻 돋골을 돛골로 알고 한역하여 범곡(帆谷)이라함. 고촌은 오래된 마을 뜻외 돋골마을의 본마을 큰마을이라는 뜻 마을앞 진달래꽃 만발하여"
414,안평,Anpyeong,051-678-6414,부산광역시 기장군 철마면 반송로 1101,O,O,O,,,,O,○1914년 기장군 상서면 안평동 일부와 원동면 만화동 일부가 합쳐 동래군 철마면 안평리 되었고 ○1973년 양산군에 속했다가 1995년 부산광역시로 편입되어 기장군 철마면 안평리 됨
